 ( 0.39574246391875789     , 8.64960397500169620E-004)
 ( 0.79283407987306731     , 0.51696021422616667     )
 (-0.17176707947115943     ,-0.18019208840605216     )
 (-0.47681503201179254     ,-0.56679857079064533     )
 ( 0.47639816016677372     , 4.19559921368062305E-003)
 (-0.47310622867937724     ,-0.13824903055456872     )
 (-0.28188275599078594     , 3.98488164678880707E-002)
 (-0.23293196424047125     , 0.95518913402894867     )
 ( 4.62993211192141985E-002, 0.11625474440750594     )
 ( 0.85913783188700421     , 0.89043071933860318     )
 (-0.63814123909029519     ,-0.67847458780779135     )
 ( 0.45630237049513056     , 0.27974074566315466     )
 ( 0.10678181479939752     ,-0.97695615607569408     )
 (-0.67692316312398049     ,-0.54258903908067424     )
 (-0.53372028967434204     , 0.24200466329971704     )
 (-0.97254717415726333     ,-0.38554226757640464     )
 (-0.84402448036670563     ,-0.48462629253237566     )
 ( 0.46450387467350396     ,-0.11742232989832502     )
 ( 0.31431408761758206     , 5.15048245372824454E-002)
 ( 3.12927376559386516E-002,-0.72430428680866754     )
 ( 0.81417702960921901     ,-0.13669294153266520     )
 (-8.43932763575381273E-002, 6.24489574161017913E-002)
 ( 0.91446581434828289     ,-0.25236063938013586     )
 (-0.52470087298761570     , 0.47055570077929332     )
 (-0.25937726489636503     , 0.83871030905827837     )
 (-0.96821397732944803     ,-0.95608945645040677     )
 (-0.11387035984640903     , 0.98886456471500850     )
 ( 0.66647596719680990     , 0.54011039168141650     )
 (-0.13660485654694554     , 3.94334478518700848E-002)
 ( 3.53295099491646170E-003, 0.64964038283505232     )
 ( 0.72555016717168286     , 0.37950157878281487     )
 (-0.17767221972608382     ,-0.65717941966648397     )
 (-0.42104342010296847     , 0.91868249362567411     )
 ( 0.12915743292935389     , 0.23652126281489672     )
 (-0.31686811234400380     ,-0.78650898110362988     )
 (-0.38375667112391199     , 0.57428427601086440     )
 ( 0.28874190951724898     ,-0.89716353194405229     )
 (-4.24046168811642588E-002, 0.41052770800387606     )
 ( 0.31875062539673849     , 0.56872590866765194     )
 ( 0.97198666883095797     , 0.18664860048749432     )
 ( 0.60117942079769904     ,-0.98935165938184610     )
 (-0.71603899205363319     ,-0.48623898402389187     )
 ( 0.88765427157598964     , 0.69849612390390092     )
 (-0.17956967174618654     ,-0.31179795541778077     )
 ( 0.73844651143095774     ,-0.53354310121955706     )
 ( 0.50394767871718926     ,-5.85062460986662813E-002)
 (-0.95452179431860174     ,-2.87349483805385830E-002)
 ( 0.18010287872984776     , 0.97085216171637256     )
 ( 0.14820431699555314     ,-7.02760033848974786E-002)
 ( 0.60661839224533054     ,-0.16072745634460972     )
 ( 0.94683829210347170     , 0.16468666652809105     )
 (-0.17843933578874527     ,-0.56961872339173425     )
 ( 3.14929231294271972E-002,-0.85710086504702332     )
 (-0.89143566553250508     ,-0.52768453637009571     )
 ( 0.64790184304145981     ,-0.27554127185926092     )
 (-7.59690467458327134E-002,-0.48843971277063503     )
 (-0.54109369817550856     ,-0.57069917379414647     )
 (-0.49415243729070113     , 0.55162789536620238     )
 ( 0.80927443834283252     , 0.65329530159379345     )
 (-0.46878871977956038     ,-0.57261186185281332     )
 ( 0.95810361246727638     , 0.55239169698182167     )
 ( 0.34358132222885018     ,-0.95655185686155875     )
 (-0.96852200709864888     ,-1.06946672033814139E-005)
 (-0.73845275893072682     ,-0.33108795662008816     )
 ( 0.91665100825067469     , 0.97751178161859542     )
 ( 0.77643901266267079     ,-0.51917834538904373     )
 (-0.25876703776126675     ,-0.52677671122336989     )
 ( 0.62674850936368642     ,-0.96072896311228106     )
 (-0.14487441141822188     ,-0.44317804024019125     )
 ( 0.51682031999896338     ,-0.46170982930517113     )
 (-0.61730492310508822     , 0.50947414308716787     )
 (-0.53925966188317176     , 0.31279292882583576     )
 (-0.41364936188919188     ,-0.91210300890072205     )
 (-0.65915947029677824     ,-0.37713036727132732     )
 ( 0.75373449625188726     ,-0.82095505183060169     )
 ( 0.35968531310313523     ,-0.76283775431569012     )
 ( 0.48756879300614031     , 0.87609510041823313     )
 ( 0.84574653662118493     ,-0.52332182489136159     )
 ( 0.66328277241617428     ,-0.38105534097298488     )
 (-0.31785237674066735     ,-0.53613576756050207     )
 ( 0.57329727510042261     , 0.36051856604051835     )
 ( 0.92580056728413496     , 0.27876303149263748     )
 (-0.32828948521515855     , 0.23602383459847687     )
 (-0.44309038619972085     , 0.10929749484227358     )
 ( 0.76754683453278716     , 4.30672648307606210E-002)
 (-0.54288986975846143     , 0.47586268270378440     )
 (-0.48786385407985478     ,-0.27153788780146471     )
 ( 0.49438788767465525     , 1.61353599679543436E-002)
 (-0.26497645848784401     ,-0.61022537313949243     )
 (-4.46797899539674859E-002, 0.56402807445805792     )
 ( 0.87650363935775744     , 2.83906306902323990E-002)
 (-0.40396627901450444     ,-0.59829646684705295     )
 ( 0.84187006782664042     , 5.33029528673338859E-002)
 ( 0.49352122051575265     , 0.28521423304118088     )
 (-0.41379537002641342     , 0.57312010551236625     )
 (-0.99545994199943522     ,-0.55267087055688791     )
 (-0.72255940127596574     , 0.69516254763191654     )
 (-5.88362671009932114E-002,-0.80485889294028112     )
 ( 0.75295778753419285     , 0.86713275868742556     )
 (-0.86388514862242261     ,-0.50019634232115351     )
 (-0.92045898421159933     , 0.86590662239807870     )
 ( 0.60820849456629134     , 0.30090996339139764     )
 ( 0.37159584405579693     , 0.10168380693499302     )
 (-0.61548198677073884     ,-7.67099646581144157E-002)
 (-0.23349650856224713     ,-0.16875858053919757     )
 (-0.34782224614534840     , 0.45904916545963914     )
 (-0.12765183440311745     ,-0.34645428898438269     )
 (-0.61500325734673567     , 0.25719121228882358     )
 ( 0.49040213566782853     ,-8.83214879527898233E-002)
 (-0.87078859331061409     , 0.46685066195731650     )
 (-0.50385574089060725     , 0.58911588943015403     )
 ( 0.57469149535190667     ,-0.79731451850364721     )
 ( 8.66538356669579457E-002, 0.83304373261551490     )
 ( 0.34366898060809348     , 0.27204601414472762     )
 ( 0.94240110497351992     ,-0.14520390040042486     )
 ( 0.68452236096677410     ,-0.92217894505677833     )
 ( 0.10618592892702594     ,-0.23515531730306094     )
 ( 0.17425597181206598     , 0.46805828984678755     )
 ( 0.57469470584108961     ,-0.36076081034975260     )
 ( 0.94600311375315727     , 0.74824998275391152     )
 ( 0.87728985047552754     ,-0.84681372259439769     )
 (-0.67190944912997708     , 0.23425365227443962     )
 (-0.44434625758746193     , 0.44774642392967934     )
 (-0.80513229778066631     ,-0.34213100627096793     )
 (-0.14478260514628261     ,-0.86538872225862207     )
 ( 0.99756415269919074     , 0.12280397179528535     )
 ( 0.61835072677248348     ,-0.26621391462226285     )
 (-0.29816855664430619     ,-0.54917766461256434     )
 ( 0.97851373346585291     ,-0.75306973618928197     )
 (-0.83171303355127435     ,-0.41404071122156694     )
 ( 0.76740354390889109     , 0.48729155787832923     )
 ( 0.45924668707871064     , 0.79350919164505029     )
 (-0.53798117207546881     ,-0.66720699790955251     )
 ( 0.84984684091048024     ,-0.12028354436143474     )
 (-0.96106222795916807     ,-1.59154082834405131E-002)
 ( 0.80085021651475330     ,-0.62757424374456861     )
 ( 0.41740638001711972     ,-3.85593401404733527E-002)
 (-0.22545237891788616     , 0.97205778620422478     )
 ( 0.53449767237983536     ,-4.45430447336505608E-002)
 ( 0.63023714974874423     , 0.66085954013703230     )
 (-9.69330410817192956E-002, 0.37376581992378277     )
 ( 0.63273043150754660     , 0.32612104053531965     )
 ( 0.27993123894983540     ,-0.25836882396647098     )
 (-0.81786639133733985     ,-8.53590092878064866E-002)
 (-0.53392055372641067     , 0.88549474875861023     )
 ( 0.68671892201975737     ,-7.91504266851532634E-002)
 (-0.95378780090928927     ,-0.45249142582060387     )
 ( 0.13897792048887680     ,-2.56549986171492606E-002)
 (-5.00475602207544057E-002, 0.86299387119463944     )
 (-0.37113300848907471     ,-0.38614102606016587     )
 ( 0.10509935527041847     ,-0.27619970835025498     )
 (-0.92624238229664257     , 0.81852238926796161     )
 (-0.69724524411711997     , 0.81588990477137457     )
 ( 0.82262500535491512     ,-5.65559735634977301E-002)
 ( 0.97847115883072178     , 5.13245200343632746E-002)
 ( 0.58848700188368497     ,-0.57027108067234877     )
 ( 0.33119167223045309     ,-0.16961939311620000     )
 (-0.41102197789289363     ,-0.29116268267535617     )
 (-0.42388909370848893     , 0.31094063028199770     )
 ( 0.16614753715693809     , 0.40230695299907637     )
 (-0.19287894951575169     ,-0.50319941215304453     )
 ( 0.97404704510656615     ,-0.83998168044377763     )
 (-0.29734455116128089     ,-2.37215926042111391E-002)
 (-0.34764916113758915     , 0.83806229946900856     )
 ( 4.39409801369592401E-002, 0.66469414300348006     )
 ( 0.45708181460556574     , 0.37055928065318966     )
 ( 0.75035780562082977     , 0.67110809323417442     )
 (-0.56857847694582375     ,-0.55683365229186421     )
 ( 2.12180839468700810E-002,-0.21166544300087509     )
 ( 0.33151115605144099     , 0.35918174316952189     )
 ( 0.48025157147898057     , 8.78844405422611885E-002)
 ( 0.76003468246849337     ,-0.64319894260791699     )
 (-0.65313687438086987     ,-0.69468316664876539     )
 ( 1.51544001457963873E-002,-0.23211497439752549     )
 ( 0.13024250973565898     , 0.36868548133866597     )
 ( 0.36998025458105843     ,-0.89074811316584857     )
 ( 0.80709806035812193     ,-0.57946169756480259     )
 ( 0.31913489030605291     , 0.39669549187805586     )
 (-0.32540977933300752     ,-0.49554578721717490     )
 ( 0.35006404737909946     , 0.22434123605477652     )
 (-3.46038310840768304E-002, 0.84756906101386420     )
 (-0.27152590684566036     , 0.63727293753571956     )
 (-0.10481972371636772     ,-0.88686109635222721     )
 (-0.53440731152668519     ,-0.65171751688729529     )
 (-0.76748558423813762     ,-0.51089830356506383     )
 (-0.97921767234127088     , 0.83979792073727566     )
 (-0.98907528795476907     , 1.20152245233882127E-002)
 (-0.52767273682534466     ,-0.59577780817711101     )
 (-0.95932532800183168     , 0.71785724862132128     )
 (-0.92710037144818358     , 0.88975136622502049     )
 ( 0.94756626613351358     , 0.30416090487511127     )
 (-0.36977209283904955     , 0.13892556898610309     )
 ( 0.21588794364671315     , 0.84901186297945941     )
 (-0.52122224034835796     ,-0.23661472964591468     )
 (-8.39007430910569951E-002,-0.74625887991687279     )
 ( 0.52074911935837775     ,-0.45475225074472547     )
 (-0.64664675406815064     , 0.57489608735061637     )
 ( 0.62533189270995848     ,-0.42712916467599626     )
 (-0.19604251082402158     , 2.94503115870199395E-002)
 ( 0.41988306066277659     , 1.12209857635363619E-002)
 ( 0.96180026418434039     ,-0.43759373386985345     )
 (-0.85357203258715941     , 0.60429786073449776     )
 ( 0.96905707988192802     ,-0.54985635673910593     )
 (-0.12241439587419478     , 0.66377532463899769     )
 ( 0.35358244199138511     ,-0.90674501532027563     )
 ( 0.19860924815863967     ,-0.90611327940951725     )
 (-0.63728040612560477     ,-0.82862120285603424     )
 ( 0.80265740223094184     , 0.24229784153123290     )
 (-0.28173536278226408     , 0.55687501715754451     )
 (-0.22439690676171864     ,-2.00382461187089689E-002)
 (-0.50656161965768121     , 0.30627631165162228     )
 (-0.74941026311567072     , 0.95442301827448972     )
 ( 0.52838698652291072     ,-0.21452126910850922     )
 ( 0.30208645204290718     , 0.61042239685911426     )
 (-0.42061149943439347     , 0.27879416539195034     )
 ( 0.26032241774546350     ,-0.86636566218738409     )
 ( 0.38702411899949851     , 0.65046240042027392     )
 (-0.97937389407614006     , 0.37763588514166457     )
 ( 0.32351813759836290     , 0.76219980971273316     )
 ( 0.48429849452272578     ,-0.86455532448929517     )
 (-0.36230364044244112     , 1.90323843275379545E-002)
 (-0.79085283166998721     ,-0.50513714623594552     )
 ( 8.09968785107102462E-002, 0.86021035310391625     )
 ( 4.63804885875873651E-003, 0.77611056497845965     )
 ( 0.51812706268011510     , 9.96176179939354256E-002)
 (-0.96027914015255789     ,-0.37948533669510454     )
 ( 0.77473375981420389     , 0.24295910058054204     )
 ( 0.62669083143068605     ,-0.26497708346972360     )
 (-0.64972228282525890     ,-0.61567962460782866     )
 (-8.70999262335558910E-002,-0.22127121978838460     )
 ( 0.75061546669584089     , 0.75463415117115318     )
 ( 8.96650098901758952E-002, 0.70910426640704571     )
 ( 0.22002996254624207     ,-0.17365524694998413     )
 (-0.62473125219910486     ,-0.98306396055000533     )
 ( 0.85005257668566259     , 6.43222566366645765E-002)
 ( 3.24667932683482263E-002, 0.72473013488467330     )
 ( 0.81082115761542894     ,-0.42997017069371424     )
 (-0.74869144241504415     , 0.48328111760292103     )
 ( 0.31335923838295088     ,-0.76372135545529574     )
 ( 0.20132319847052571     , 0.87987957139431927     )
 (-0.48352235799101351     ,-0.51919804801520542     )
 (-0.60587605242788101     , 9.89450445433632808E-002)
 (-0.28657082413398172     ,-0.34946899117557706     )
 ( 0.28419772448582847     , 0.90640746477935608     )
 (-0.33057266885456471     ,-9.79518923887283677E-002)
 (-0.51699598503839894     , 0.74260608180656362     )
 ( 0.95510840941059172     ,-0.49058662907322770     )
 (-9.45538000633874276E-002, 0.30951869681404531     )
 (-0.31858921465781265     ,-0.50440017470175036     )
 (-0.43076273772292240     ,-0.14353720421355121     )
 (-0.53839741685820997     , 0.22031301471525211     )
 ( 0.71259756959275222     , 0.45871171710893321     )
 (-0.89525260633130443     , 0.70220456842292123     )
 ( 0.59503273422276237     , 0.62543065388125996     )
 (-0.99480570975530469     , 0.24960119821212601     )
 ( 0.13558188547576577     ,-0.12835338247203509     )
 ( 8.31508131706968356E-002, 0.28804906722296408     )
 ( 0.88383855444183013     , 0.37331097171340133     )
 (-0.77451671364148211     , 0.59740584532510610     )
 ( 0.29716526817778544     , 4.95802842423174184E-002)
 (-0.62797469590945099     , 0.62308654543533493     )
 (-0.37621362219781673     , 0.56191853954850757     )
 (-0.28570001822064484     ,-0.15242807932049374     )
 (-0.29821089597962924     ,-0.40980129445404856     )
 ( 6.91121017086615552E-002,-0.23339270589696781     )
 (-0.36057222616543783     , 0.77134175603872990     )
 ( 0.63238010309654413     ,-0.19815730931913578     )
 (-0.27155175632183415     ,-7.91359864421181669E-002)
 ( 0.40729246543101993     , 0.11517954567482747     )
 (-0.72963394305200069     , 0.28169659741524100     )
 ( 0.15882591488760767     ,-0.98801742606696763     )
 ( 0.60168046789240037     , 0.86248133793616688     )
 (-0.57770845425219619     , 0.29777510152296571     )
 ( 0.94882457904761708     ,-0.63107674974504135     )
 (-0.33968310790320544     ,-0.92175021586326267     )
 ( 0.41317698589923424     , 0.35137804972861630     )
 ( 1.89647096880989352E-002,-0.81741833399616581     )
 ( 9.16300001797694108E-002, 0.16936173594648807     )
 ( 0.30297023372221332     ,-0.61268553140639170     )
 (-8.50387678020538829E-002, 1.37754734852180150E-002)
 ( 0.92078546539570283     , 0.28969134018660014     )
 ( 0.19552655282952713     ,-3.99696450197168929E-002)
 (-8.43108915634402933E-002, 1.74055454406740751E-002)
 (-0.79647927271603436     , 0.90462064575728363     )
 ( 0.19809162645102418     ,-0.41645777162518272     )
 ( 0.54817481549550706     ,-5.62817208119739121E-002)
 ( 0.24977402276643801     ,-0.15684305725967107     )
 ( 6.27142679717493934E-002,-0.41026680189168729     )
 ( 0.53158385656407603     ,-0.45132238945399905     )
 (-0.25937398883295515     , 0.12019112005622645     )
 ( 0.36551020245527610     ,-0.57268855744923286     )
 (-0.36828578706749937     ,-0.13259005723842421     )
 ( 7.85082352635626535E-002,-0.36792536616582794     )
 (-0.80949965367128840     ,-0.43300419876096186     )
 (-0.28761862236516578     , 9.11278331018863241E-002)
 (-0.78731887092826724     ,-0.20718276099058386     )
 ( 0.76989198520706026     ,-0.43501802381963017     )
 ( 0.15853540611717420     ,-0.55446143660470426     )
 ( 0.55549786243030752     ,-0.38997542779834049     )
 ( 0.43130556437167655     ,-0.71431128149072975     )
 ( 7.81390017372913803E-002,-0.24310656472386682     )
 (-0.73539187874460055     ,-0.70970257052523067     )
 (-0.26323568037597767     ,-0.71431933500202405     )
 (-0.38821078717646884     , 0.46903344759140708     )
 ( 0.75522932530949305     ,-0.11602810407504904     )
 (-0.71722867761079812     ,-0.36878204142136184     )
 ( 0.34525010100272624     , 0.70050195922095071     )
 ( 0.12627523707455879     ,-0.99625289529661387     )
 (-0.24729580258512129     , 0.97392562894668089     )
 ( 1.82833974511353858E-002,-0.25847138348081700     )
 ( 0.70716255401347183     ,-0.73495143896929704     )
 (-0.37282498558497679     , 5.12062511162341139E-002)
 ( 0.49555584062519387     ,-0.28097362525006275     )
 ( 0.34304706767672855     , 0.29539959120369730     )
 (-0.80823881464690572     ,-0.27629342540439694     )
 ( 0.46927607172997199     ,-0.88688672698265947     )
 (-0.10692139661663447     , 0.42864616469744732     )
 ( 0.98931079789806375     , 0.96205638096761703     )
 ( 0.66548807211628258     , 8.85748685259883928E-002)
 (-0.72304652495913757     ,-0.13495292688492810     )
 ( 0.93067561016524536     ,-3.76226666106234120E-002)
 ( 0.47492385673970006     , 0.45514698398186937     )
 ( 1.25274111272446476E-002,-0.97377492771165208     )
 (-0.48975556073796866     , 0.21736208988010475     )
 (-0.60244744236255343     , 0.16448767498962269     )
 (-0.44312645765806025     ,-0.70165098314055996     )
 (-2.40554029200339414E-002,-0.47331949427502451     )
 (-0.96801657620299153     , 0.20426572254847741     )
 (-0.73383220256372539     , 0.75015019672007810     )
 ( 0.88327058923643875     ,-0.43960940941384052     )
 ( 0.65949272011206261     , 0.73864724480409194     )
 (-0.92336752040032621     , 0.91909174001136051     )
 (-0.54975465380724842     ,-0.72642557735213842     )
 ( 3.73862719991606696E-002,-0.94515372809929232     )
 ( 0.36611187343722662     , 0.15971802672543589     )
 (-0.33012088667474160     , 0.58097475171654622     )
 (-0.87090503657126561     ,-0.26214629910948162     )
 (-5.92177786943253182E-002,-7.74304175116213855E-003)
 ( 3.50841616612669327E-002,-7.50428024936766747E-002)
 (-0.55348856580381067     ,-6.46816812933437291E-002)
 (-0.46307906205087335     ,-0.41396953263581082     )
 ( 0.60601146801379713     ,-0.18569000556318116     )
 ( 0.37574480040674274     ,-0.25803759482682409     )
 ( 0.96251784920777794     , 0.55763678291906871     )
 (-0.92326127664481561     , 0.24256891919974777     )
 ( 0.50280673089857686     , 0.93200335910909615     )
 (-0.11841280212880889     ,-0.92481375831648194     )
 (-4.20392770124777826E-003, 0.24753839287256341     )
 (-0.17054393669608459     ,-0.94588794904809248     )
 ( 0.32510946366462434     , 0.33190524917517195     )
 (-0.75546259105605174     , 0.48698853670344278     )
 ( 0.97829371311163271     ,-0.43319519613431368     )
 ( 0.98961274713857250     , 0.40808750672629657     )
 ( 0.71973067686078451     ,-0.49319210968929639     )
 (-0.72488914749343536     , 0.59757750636554618     )
 ( 0.60084021096795226     , 0.69270953081183251     )
 ( 0.47021063651524031     , 0.98741420134950175     )
 ( 0.56087205032215337     ,-9.07380983421788301E-002)
 (-0.72989831745818634     , 0.93068546013233089     )
 (-0.21963262031668052     , 0.12490543183604785     )
 (-0.11999689634948396     , 0.54924916370708132     )
 (-0.37182664823556166     ,-0.88133495715033661     )
 ( 0.85539270367629427     ,-3.34877311099219810E-002)
 ( 0.57765332884732601     , 0.40139880075854961     )
 ( 0.28755052181528384     ,-0.70459844462545362     )
 (-0.93061032284433765     , 0.15476667148413270     )
 ( 0.66741122178162726     , 2.81572973981880637E-002)
 (-0.69783797280670257     , 0.84631514658996565     )
 ( 0.64728594869958300     ,-0.16827168233368894     )
 ( 0.80223952849021174     , 0.86263673917186878     )
 (-0.17730627974075475     , 0.18244800421899043     )
 (-6.10117263171119362E-002,-0.51065076183670755     )
 (-0.52622735672643017     ,-0.10648659977238850     )
 (-0.96659775540977222     , 3.63356542834409879E-002)
 ( 0.96095975263377653     ,-0.85923908774697821     )
 (-0.81864465806948061     ,-0.33602050797242811     )
 (-0.68872744323042667     ,-0.55647997570560648     )
 (-0.65391919944065791     ,-5.92911604792405456E-002)
 ( 0.73303294208002256     , 0.20011815300477309     )
 (-0.24944993640733770     ,-0.59128571827171328     )
 ( 0.75668243841024463     , 0.42909293374616908     )
 (-0.66901650848624428     ,-0.86708268756229501     )
 ( 0.94088447850852930     ,-0.43046971229609454     )
 ( 0.33361761634696308     ,-0.33717475340052516     )
 ( 0.25483169650780013     ,-0.58562491292315855     )
 (-0.49098448378433801     , 0.97750311703497772     )
 (-0.87698799616524781     ,-1.87563915930653025E-002)
 ( 0.36757578208621311     , 0.36521017819256230     )
 (-0.40392634444064157     , 0.48339074340849919     )
 ( 0.31740897623401310     ,-9.02406544583556069E-003)
 (-0.78569572394318499     ,-0.70876237779561535     )
 ( 4.73459409521623797E-002,-6.77844375330849402E-002)
 (-0.99296065003662903     , 0.23943439567317881     )
 ( 0.20445730625763048     , 0.14409470159602478     )
 ( 0.99547950276686237     , 0.82800592165840925     )
 ( 0.33303556683417668     ,-0.79256364413289049     )
 (-6.36395050178535371E-002, 0.40589250408759625     )
 (-0.59854234881434110     , 0.49220556368799606     )
 (-0.61687726527899400     , 0.55334114459588335     )
 ( 0.38064448995773859     ,-0.15630192658807829     )
 ( 9.81057755754690675E-002, 0.46331248304584705     )
 (-0.28609779437963567     ,-3.81500757408304025E-003)
 (-0.80271478990713518     ,-0.34646777361803771     )
 ( 0.71870469218779220     ,-0.80538623307996460     )
 ( 4.66120937303102778E-002, 0.93722089455507529     )
 ( 0.69739703138727549     ,-0.86127560568503014     )
 (-0.12045395996430130     ,-1.59303522008897858E-002)
 (-0.35819909932806837     ,-0.83970402850253123     )
 (-0.48267008508836540     ,-0.61911969866088867     )
 ( 0.85722436870766927     , 0.93288003943484199     )
 (-0.27962587382186399     ,-0.15435811834340285     )
 (-0.30964325455156683     ,-0.95100880158828005     )
 ( 0.97923935425929898     ,-0.22313826726492181     )
 (-0.96609804335160021     , 0.16199963805410533     )
 ( 0.49056570067849492     , 0.87389374125546482     )
 ( 0.73450874664413135     , 0.38359205247763128     )
 (-0.69466885684395407     , 1.09972165079668116E-002)
 (-8.94696215259287442E-002,-0.81767560668118477     )
 ( 0.95747037946269842     ,-0.61989516616603879     )
 ( 7.83278968871385928E-002, 0.69916955207997233     )
 ( 0.17858411679159047     ,-0.74803567029182005     )
 ( 0.60115694752655457     ,-0.63824714185967224     )
 (-0.39734388072921689     ,-0.71536617788155610     )
 ( 0.14908610455940874     ,-0.25514427004225837     )
 (-0.18819163665219918     ,-0.50055777830295511     )
 ( 0.55282214925684769     ,-0.77955957559266409     )
 ( 0.94360096913700175     , 0.83966169710475214     )
 ( 0.73470226351414425     ,-0.87940590712481281     )
 ( 0.77066067542997274     ,-0.75653393753470510     )
 ( 0.51739215503427971     ,-0.41890422735287558     )
 ( 0.19793700692851957     ,-0.35754523480495237     )
 (-0.61905978511695281     ,-0.75353698169545424     )
 (-0.84992355563080224     , 0.10729436936951942     )
 ( 0.12271842335805871     , 0.52902311026104343     )
 (-0.38529064843229577     ,-4.94444718487585533E-003)
 ( 0.45836836659841396     ,-0.32053533375449916     )
 (-0.93470036197917494     ,-0.47420883458841701     )
 (-0.40389709590383660     , 0.72414652645920086     )
 ( 0.63305064156300972     ,-0.52900266836281418     )
 ( 0.55752823625507375     , 0.15985948430635943     )
 (-0.62036999731598286     ,-5.89875778139870022E-002)
 (-0.53351513862342159     , 0.59944029201937354     )
 (-0.88539112952654619     ,-0.39567453246690576     )
 (-0.73080331706282919     , 0.38631388417194756     )
 ( 0.80194412976739926     ,-0.32362625937964395     )
 ( 0.59520283075587344     ,-0.77762356800486288     )
 ( 0.23200396993168937     , 0.92089629638308423     )
 ( 5.50640936347903676E-002, 0.38631616758322451     )
 ( 0.94798452782580256     , 0.58046372263350321     )
 (-0.34137727370987392     , 8.81883994982146646E-002)
 (-0.81847396914933057     ,-0.91338827013505153     )
 (-0.18741171012457158     , 0.46550327995361584     )
 ( 0.67034834059310100     , 0.71125498683698396     )
 ( 0.22936061313318845     ,-0.14406282131995596     )
 (-0.27577444656109407     , 0.75193529434869077     )
 (-0.11377857980469486     , 8.67284697470651622E-002)
 ( 0.92304485163614203     , 0.76115228140422886     )
 ( 0.87626616128729751     , 3.05536450375640811E-002)
 ( 0.64548361664932230     , 0.72672280602164818     )
 (-0.32435539592447782     , 0.64688743174280461     )
 (-0.36257158374522902     , 0.60300464723280101     )
 (-0.77322970386897083     , 0.83621851116821944     )
 ( 0.55908735768669970     , 0.42408838536908178     )
 ( 0.64008259296806358     ,-1.32919876881558707E-002)
 ( 0.54725096125294925     ,-0.73310391547540377     )
 ( 0.70863806134959617     ,-0.98137131390081578     )
 ( 6.77736521987171159E-002,-0.93328598586476375     )
 (-0.60379178596335947     , 0.58589605483017948     )
 ( 0.61151569320596622     ,-0.16278332409098795     )
 ( 0.71160520989248965     ,-0.94411362368419560     )
 (-0.87185861422441491     ,-4.63016621101317583E-002)
 (-0.24441613776262017     , 0.76321746335371898     )
 (-0.35524884415125513     , 0.18920361923408535     )
 (-0.81718546141653547     , 0.24993475661425890     )
 ( 0.55377020738327332     , 0.14072791732524337     )
 ( 0.94602480636435615     , 0.81828406267992904     )
 ( 0.97526227721024128     ,-0.83617087684940117     )
 (-0.80659451799213144     , 0.41265153890343953     )
 (-7.36788446446681178E-002,-0.80895836859139791     )
 ( 0.90970657468496796     ,-8.10016670788016313E-002)
 (-0.58714745288106229     ,-0.29040038138584379     )
 (-0.21295201869768476     , 0.35289926708104957     )
 (-0.22966795343169366     ,-0.79065356448490576     )
 (-0.53072381420984271     , 0.65579959671492105     )
 ( 0.51844896570442955     ,-0.30048176056977383     )
 ( 0.44464914347170037     , 0.11301866610892120     )
 (-0.31664198057425352     , 0.17553017766618240     )
 ( 0.30166449028447317     , 0.55104173719529825     )
 (-0.87100109647989399     ,-0.43884997503284495     )
 (-0.22710129314143757     ,-0.10456112658744843     )
 ( 0.19904512127580887     ,-0.35029532400148611     )
 (-0.94226561105902107     ,-0.57097997514814125     )
 (-0.69805448608807552     ,-0.46258320183785173     )
 ( 0.54775682838978668     ,-0.13773411927014223     )
 ( 0.49666233088745315     , 0.22479976058826168     )
 (-0.38566280705399691     , 0.41935213139969818     )
 ( 0.30452583825827872     , 0.32543617194522056     )
 (-0.98257479177434703     ,-0.51710198546584962     )
 ( 0.65655490661023208     ,-0.34238351724406613     )
 (-0.65621310814126588     , 0.48360590878643706     )
 (-1.59267552940391965E-002,-0.97959336279388509     )
 ( 0.39278006743622740     , 0.84690478315632589     )
 (-3.08054915732469681E-003,-0.58606480502334790     )
 (-0.56580040508934104     ,-0.27774598853910248     )
 (-0.18355665897278328     ,-0.27877181457080979     )
 ( 0.72668299433009764     ,-0.64840708126872215     )
 ( 0.11323858143426691     ,-0.58203829547910146     )
 (-0.30741708873015483     ,-0.66377705997150116     )
 (-0.85937999777710417     , 0.83423541912127774     )
 (-9.29768249395479529E-002,-0.58412905790647329     )
 ( 0.57765060064601670     , 0.10108220395073175     )
 ( 0.91099753489506696     ,-1.55084155816282987E-002)
 (-0.45150434650330595     ,-0.95889239684249361     )
 (-0.73821797586649751     , 0.36421107874706848     )
 ( 0.84146705229462526     ,-0.60041481840352873     )
 (-0.22544920039522509     ,-0.60361815531280882     )
 ( 0.10975744922549069     ,-0.92329238982990347     )
 ( 0.29784873044425098     , 0.36669485403444213     )
 (-0.28001144229475727     , 0.15569601513885090     )
 (-0.56158053001409058     , 0.46437140758472850     )
 ( 7.27484885507792001E-002, 0.89228921310512277     )
 ( 0.36875273446460000     , 0.31331619563001567     )
 (-7.52931789021786813E-002, 0.43095745142164077     )
 (-0.70046346623244204     , 0.66044625700612158     )
 (-0.10688929178380846     ,-0.54080032192775462     )
 ( 0.58991665220880662     , 0.74290337148249108     )
 (-0.55608180496793835     ,-0.45432332438026179     )
 ( 0.13701426128445604     , 0.48619799645586426     )
 (-9.70464067238836492E-002,-0.60210788938758952     )
